id,brand,year,age,engine_size,power,mileage,prev_owners
id_11042,bmw,2016,2,3500,272.0,4751.0,0
id_7042,ford,2009,9,1400,96.0,59288.0,2
id_1420,vw,2014,4,3600,252.0,13387.0,0
id_64357,ford,2012,6,2200,150.0,3194.0,0
id_79541,kia,2011,7,1200,80.0,2645.0,0
id_45687,bmw,2014,4,1800,164.0,5733.0,1
id_80677,ford,2011,7,1400,96.0,21330.0,2
id_63366,vw,2008,10,2300,156.0,82460.0,2
id_29836,ford,2012,6,2500,166.0,95793.0,2
id_65714,kia,2010,8,1000,67.0,45218.0,1
id_82521,vw,2017,1,2300,175.0,10137.0,0
id_66339,ford,2017,1,2000,146.0,3210.0,0
id_95453,vw,2012,6,1200,94.0,16053.0,0
id_85739,kia,2011,7,1200,81.0,12490.0,0
id_62252,vw,2011,7,1200,98.0,36950.0,0
id_52008,kia,2016,2,1100,81.0,3210.0,0
id_67573,vw,2009,9,1900,132.0,90346.0,3
id_94988,ford,2009,9,1400,96.0,11053.0,6
id_89052,ford,2012,6,2500,169.0,18227.0,0
id_22689,vw,2009,9,1200,92.0,106492.0,2
id_30186,vw,2017,1,1700,136.0,4619.0,0
id_88526,ford,2013,5,1400,100.0,5995.0,1
id_48118,ford,2009,9,1800,119.0,108737.0,2
id_74840,ford,2009,9,3000,197.0,18765.0,3
id_38866,bmw,2013,5,4000,297.0,54084.0,0
id_9968,vw,2010,8,1200,95.0,44588.0,2
id_18539,ford,2013,5,2000,144.0,42130.0,0
id_22277,bmw,2017,1,1800,192.0,2353.0,0
id_21606,kia,2016,2,800,61.0,12934.0,1
id_65282,bmw,2012,6,2300,185.0,17676.0,2
id_94135,vw,2015,3,1500,114.0,32736.0,0
id_67483,kia,2012,6,1000,69.0,17252.0,1
id_77321,ford,2008,10,1800,115.0,124568.0,4
id_11174,ferrari,2015,3,5700,536.0,41450.0,0
id_84788,kia,2011,7,1400,93.0,35837.0,1
id_59443,ford,2010,8,1800,126.0,78046.0,1
id_58761,vw,2009,9,2300,152.0,151626.0,0
id_88943,ford,2009,9,1600,106.0,86625.0,3
id_99201,ford,2013,5,1400,105.0,27681.0,2
id_21316,vw,2015,3,3600,259.0,35473.0,1
id_38667,ford,2010,8,1600,111.0,75778.0,4
id_32252,vw,2011,7,1900,140.0,9074.0,1
id_47457,kia,2014,4,1400,99.0,37460.0,1
id_75266,ford,2010,8,1400,103.0,39467.0,0
id_59241,ford,2014,4,1400,108.0,14677.0,0
id_77409,vw,2013,5,2300,168.0,38545.0,1
id_41100,ford,2016,2,3000,213.0,1396.0,0
id_15779,ford,2010,8,1600,112.0,56643.0,5
id_72465,bmw,2009,9,3500,262.0,41135.0,2
id_86678,vw,2010,8,1200,97.0,3643.0,1
id_57973,ford,2016,2,2000,150.0,623.0,1
id_86758,ford,2008,10,1800,117.0,75576.0,2
id_45962,vw,2011,7,1200,90.0,86162.0,1
id_49114,bmw,2015,3,1800,192.0,37833.0,2
id_16078,ford,2017,1,2500,184.0,14990.0,0
id_13907,ford,2015,3,1100,87.0,2105.0,0
id_57609,ford,2011,7,1800,123.0,18643.0,1
id_76812,ford,2017,1,3000,212.0,5554.0,0
id_41491,bmw,2014,4,4000,305.0,42973.0,1
id_55339,ford,2010,8,3000,196.0,58762.0,2
id_35224,kia,2017,1,1200,87.0,4492.0,0
id_71384,vw,2008,10,3600,237.0,45053.0,0
id_68381,ford,2014,4,1600,116.0,52935.0,1
id_26697,vw,2012,6,1700,135.0,162471.0,1
id_60976,ford,2015,3,1400,106.0,9100.0,1
id_96347,vw,2013,5,1500,124.0,32683.0,1
id_23402,ford,2013,5,1600,117.0,38486.0,0
id_32702,vw,2014,4,1900,143.0,16224.0,1
id_37333,ford,2011,7,1400,98.0,174641.0,3
id_78287,ford,2015,3,1800,135.0,58838.0,0
id_2325,vw,2010,8,1900,142.0,85709.0,2
id_6256,kia,2011,7,800,57.0,40239.0,2
id_31154,ford,2015,3,2000,149.0,4694.0,2
id_69227,kia,2009,9,1100,72.0,18961.0,2
id_70196,kia,2017,1,1000,77.0,6807.0,0
id_66229,kia,2013,5,800,57.0,19107.0,1
id_53994,ford,2009,9,1100,82.0,60332.0,0
id_94223,bmw,2015,3,4000,319.0,210.0,1
id_23466,ford,2014,4,2500,172.0,168.0,4
id_39317,vw,2008,10,2300,161.0,14289.0,1
id_82916,bmw,2009,9,2500,212.0,8816.0,2
id_44676,vw,2014,4,1700,137.0,7119.0,1
id_45609,ford,2014,4,1800,130.0,4208.0,3
id_90756,bmw,2008,10,3000,250.0,38826.0,2
id_79547,ford,2012,6,1800,128.0,40246.0,0
id_68181,ford,2010,8,1400,97.0,1717.0,4
id_68104,ford,2010,8,1600,110.0,9128.0,4
id_263,bmw,2014,4,1800,164.0,745.0,2
id_48649,ford,2011,7,2200,153.0,22337.0,1
id_48661,ford,2015,3,1400,102.0,46991.0,0
id_86095,ford,2014,4,3000,207.0,27870.0,0
id_20551,vw,2016,2,1200,101.0,38983.0,0
id_7227,ford,2015,3,1800,130.0,12369.0,0
id_54614,ford,2017,1,2000,148.0,796.0,0
id_92913,ford,2015,3,1600,121.0,8740.0,4
id_38606,ford,2008,10,1400,91.0,28391.0,2
id_38575,ford,2015,3,1800,133.0,9191.0,0
id_31232,bmw,2013,5,2300,207.0,33676.0,1
id_20453,ford,2010,8,1800,123.0,67172.0,3
id_23768,bmw,2008,10,3000,220.0,46576.0,3
id_74300,bmw,2017,1,4500,369.0,2064.0,0
id_6884,bmw,2012,6,3000,239.0,65376.0,0
id_40322,vw,2011,7,1700,131.0,30944.0,0
id_20752,ford,2010,8,2000,134.0,16750.0,0
id_63880,ford,2013,5,1100,86.0,22947.0,1
id_14913,vw,2013,5,2300,171.0,48939.0,1
id_32946,bmw,2014,4,3500,304.0,44661.0,0
id_79075,vw,2013,5,2300,171.0,28261.0,1
id_172,ford,2012,6,3000,198.0,59358.0,1
id_59038,vw,2012,6,1700,133.0,106274.0,0
id_57701,ford,2008,10,1600,111.0,24130.0,4
id_2599,vw,2016,2,3600,262.0,2242.0,0
id_26342,kia,2010,8,1000,65.0,20795.0,3
id_94524,ford,2016,2,1100,90.0,18726.0,0
id_20896,ford,2011,7,1100,81.0,3501.0,0
id_47450,kia,2012,6,1400,96.0,37949.0,1
id_87742,vw,2016,2,2300,167.0,2015.0,0
id_81496,kia,2015,3,1000,72.0,5413.0,0
id_91112,ford,2013,5,1600,116.0,62167.0,0
id_74368,ford,2010,8,2000,136.0,14339.0,1
id_74370,vw,2008,10,1700,115.0,74966.0,1
id_13554,ford,2012,6,1100,88.0,11205.0,0
id_59250,kia,2015,3,1200,87.0,8086.0,0
id_29015,kia,2017,1,1100,80.0,1669.0,0
id_99905,ford,2008,10,1100,81.0,29755.0,1
id_15651,bmw,2015,3,1800,196.0,12670.0,1
id_97750,ford,2014,4,1800,130.0,5780.0,1
id_42704,vw,2016,2,1500,116.0,12267.0,0
id_57991,kia,2015,3,800,62.0,20026.0,0
id_74818,kia,2008,10,1000,64.0,47670.0,3
id_30923,vw,2008,10,2300,149.0,14088.0,0
id_68486,vw,2011,7,2300,166.0,15442.0,3
id_18750,ford,2010,8,2000,135.0,49692.0,2
id_47044,bmw,2008,10,4000,306.0,104235.0,1
id_15085,ford,2015,3,2200,155.0,6399.0,0
id_47672,ford,2014,4,2000,144.0,12776.0,2
id_93178,vw,2015,3,1700,130.0,13196.0,0
id_46591,bmw,2016,2,4000,323.0,4723.0,0
id_55751,bmw,2009,9,2300,177.0,175319.0,3
id_99810,bmw,2008,10,3000,247.0,198186.0,2
id_11573,vw,2011,7,3600,248.0,36784.0,1
id_86075,vw,2017,1,1500,118.0,15492.0,0
id_75330,ford,2012,6,3000,204.0,23099.0,1
id_74079,ford,2017,1,2500,187.0,14631.0,0
id_20099,bmw,2015,3,3500,297.0,3876.0,0
id_77709,vw,2008,10,1700,114.0,32383.0,1
id_85267,bmw,2012,6,4500,344.0,6158.0,3
id_63386,ferrari,2008,10,4500,434.0,73019.0,3
id_63437,kia,2014,4,1200,82.0,38935.0,2
id_34826,vw,2017,1,1900,148.0,1377.0,0
id_7610,bmw,2015,3,2300,229.0,21788.0,2
id_3200,ford,2009,9,3000,192.0,114674.0,2
id_18805,vw,2011,7,1200,91.0,41617.0,1
id_84609,kia,2009,9,800,52.0,81851.0,3
id_69593,ford,2017,1,2000,150.0,3135.0,0
id_89794,bmw,2009,9,4500,331.0,41439.0,0
id_67360,bmw,2017,1,1800,161.0,3132.0,0
id_64639,ford,2017,1,2000,148.0,698.0,0
id_71170,vw,2011,7,1900,142.0,43461.0,4
id_91723,ford,2016,2,2200,157.0,6256.0,0
id_34871,ford,2014,4,1100,82.0,18829.0,1
id_35299,vw,2009,9,1500,106.0,1132.0,0
id_81242,vw,2009,9,3600,239.0,39948.0,3
id_67532,bmw,2015,3,2300,201.0,20789.0,0
id_75682,ford,2012,6,1600,118.0,6058.0,2
id_84322,kia,2014,4,1400,95.0,6922.0,0
id_5933,ford,2010,8,1800,124.0,33343.0,1
id_58587,ford,2008,10,1100,81.0,8017.0,0
id_31972,kia,2008,10,1400,88.0,500.0,2
id_58472,ford,2010,8,2200,151.0,124945.0,4
id_51215,vw,2014,4,2300,164.0,27016.0,0
id_8970,bmw,2015,3,4000,314.0,55263.0,0
id_20341,vw,2008,10,1200,90.0,3761.0,1
id_63011,bmw,2017,1,4000,315.0,2336.0,0
id_16733,ford,2008,10,3000,193.0,4670.0,1
id_78373,bmw,2013,5,4500,351.0,53699.0,1
id_90972,vw,2010,8,1500,113.0,27156.0,5
id_81032,ford,2012,6,2500,175.0,4334.0,1
id_47581,vw,2016,2,3600,258.0,28947.0,1
id_61965,ford,2008,10,2500,162.0,28668.0,3
id_3425,ford,2008,10,3000,192.0,9335.0,2
id_24797,ford,2017,1,1100,90.0,18203.0,0
id_24938,vw,2014,4,3600,249.0,15102.0,0
id_80032,bmw,2016,2,2500,235.0,1694.0,0
id_13930,kia,2014,4,1100,80.0,67785.0,0
id_90222,vw,2016,2,1500,121.0,20043.0,0
id_88758,vw,2010,8,2300,159.0,90934.0,0
id_30398,bmw,2009,9,2300,182.0,28228.0,1
id_84480,vw,2011,7,3600,238.0,53421.0,3
id_72975,kia,2014,4,800,59.0,2958.0,2
id_5029,vw,2013,5,2300,162.0,56410.0,1
id_71250,vw,2017,1,1700,129.0,10112.0,0
id_50457,ford,2012,6,1100,86.0,173.0,1
id_99233,vw,2017,1,1900,154.0,4673.0,0
id_32349,bmw,2013,5,2500,231.0,90982.0,0
id_37546,ford,2013,5,1400,98.0,37019.0,1
id_54975,ford,2016,2,2000,145.0,39685.0,1
id_211,bmw,2015,3,4000,330.0,32367.0,0
id_28385,ford,2013,5,1800,128.0,2680.0,0
id_69075,bmw,2010,8,1800,168.0,97796.0,0
id_50527,vw,2014,4,2300,172.0,3159.0,1
id_37767,ford,2013,5,1400,103.0,35111.0,2
id_64632,vw,2014,4,1200,107.0,56205.0,0
id_25785,bmw,2008,10,3500,253.0,20672.0,5
