id,value
id_93161,7456
id_21961,6016
id_63100,75696
id_97156,7184
id_31827,6720
id_92262,7136
id_49663,7424
id_25393,4368
id_71472,-256
id_19696,5312
id_969,11264
id_12109,4384
id_78436,23296
id_37110,9152
id_98486,-2240
id_82138,25056
id_87034,-2144
id_20060,17920
id_76523,6224
id_97387,9984
id_52485,8160
id_62902,20384
id_88707,70912
id_50150,8304
id_92054,19360
id_33652,3072
id_61418,2416
id_10088,13088
id_76857,3552
id_7769,4928
id_33720,7584
id_67863,21280
id_67230,14528
id_28823,4608
id_69431,7248
id_68657,672
id_45657,3520
id_2148,8000
id_34878,-2784
id_77017,1024
id_75283,18784
id_31868,9696
id_9607,15504
id_92897,4128
id_16598,10944
id_30686,1248
id_44777,4064
id_15413,14384
id_78247,19488
id_26334,5984
id_32341,6016
id_69264,8304
id_25032,2784
id_5954,-608
id_13046,8512
id_63238,13664
id_86518,13488
id_273,11424
id_62898,9152
id_67143,24736
id_13859,13056
id_33634,17248
id_35893,3616
id_65921,2272
id_93477,9664
id_4447,10656
id_79925,5984
id_66956,-416
id_14404,13040
id_28154,7536
id_14110,7200
id_59949,2816
id_43741,2624
id_93446,9696
id_19946,8192
id_53774,-1344
id_78980,-6048
id_12126,15408
id_62989,5280
id_596,16208
id_69887,9888
id_336,6496
id_77310,-688
id_6493,15360
id_22932,832
id_80440,79712
id_86396,6432
id_79047,4864
id_78275,5536
id_54667,8480
id_72388,6848
id_66798,12320
id_11044,9520
id_14383,11168
id_71601,2912
id_82988,11104
id_34152,2176
id_60312,83952
id_10441,4864
id_53998,9728
id_71936,8416
id_82012,11904
id_51598,5952
id_60488,-1888
id_20282,2096
id_85914,2832
id_42719,13728
id_95518,5216
id_53442,-3360
id_90615,9728
id_84473,416
id_33619,10720
id_93887,6752
id_3956,67904
id_64546,7840
id_42800,4912
id_14604,10160
id_32137,12704
id_95653,19680
id_89969,7712
id_6378,-1984
id_14628,2240
id_48609,3152
id_68877,-1696
id_42510,9408
id_16248,12208
id_98265,7392
id_86003,4128
id_48187,7920
id_13553,6240
id_11599,16064
id_23322,160
id_30848,1536
id_3400,4992
id_3664,1664
id_1255,11680
id_65978,4864
id_48889,3616
id_79598,13440
id_31326,11200
id_54026,5184
id_93660,5584
id_56963,4928
id_48207,1600
id_51965,-1952
id_87504,93792
id_48054,10048
id_27772,7424
id_3679,8976
id_54834,6160
id_70990,24864
