id,value
id_11042,24350.0
id_7042,100.0
id_1420,15500.0
id_64357,5950.0
id_79541,4600.0
id_45687,13950.0
id_80677,1550.0
id_63366,2750.0
id_29836,1150.0
id_65714,1750.0
id_82521,14200.0
id_66339,10250.0
id_95453,6850.0
id_85739,4350.0
id_62252,6450.0
id_52008,6450.0
id_67573,1800.0
id_94988,100.0
id_89052,5050.0
id_22689,750.0
id_30186,11600.0
id_88526,5000.0
id_48118,100.0
id_74840,1750.0
id_38866,19950.0
id_9968,2850.0
id_18539,4800.0
id_22277,20650.0
id_21606,4800.0
id_65282,9350.0
id_94135,8950.0
id_67483,3000.0
id_77321,100.0
id_11174,91000.0
id_84788,4600.0
id_59443,500.0
id_58761,3650.0
id_88943,100.0
id_99201,2450.0
id_21316,14950.0
id_38667,100.0
id_32252,7550.0
id_47457,6150.0
id_75266,2450.0
id_59241,6150.0
id_77409,8800.0
id_41100,13550.0
id_15779,100.0
id_72465,9050.0
id_86678,5150.0
id_57973,9350.0
id_86758,100.0
id_45962,3650.0
id_49114,12200.0
id_16078,12150.0
id_13907,6750.0
id_57609,3050.0
id_76812,15450.0
id_41491,15800.0
id_55339,1600.0
id_35224,8600.0
id_71384,7500.0
id_68381,4200.0
id_26697,2950.0
id_60976,5200.0
id_96347,6200.0
id_23402,4400.0
id_32702,7500.0
id_37333,100.0
id_78287,5250.0
id_2325,3500.0
id_6256,1350.0
id_31154,7350.0
id_69227,2050.0
id_70196,7900.0
id_66229,2600.0
id_53994,800.0
id_94223,21650.0
id_23466,4350.0
id_39317,7250.0
id_82916,9000.0
id_44676,9450.0
id_45609,3850.0
id_90756,8150.0
id_79547,3350.0
id_68181,250.0
id_68104,250.0
id_263,14200.0
id_48649,3600.0
id_48661,4100.0
id_86095,9300.0
id_20551,8700.0
id_7227,7600.0
id_54614,12050.0
id_92913,4250.0
id_38606,100.0
id_38575,7050.0
id_31232,14550.0
id_20453,100.0
id_23768,5400.0
id_74300,29600.0
id_6884,12350.0
id_40322,7450.0
id_20752,3950.0
