States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total
Andhra Pradesh,1 - Murder (Section 302 and 303 IPC),2014,68,5,73
Andhra Pradesh,2 - Infanticide (Section 315 IPC),2014,3,0,3
Andhra Pradesh,3 - Rape,2014,617,21,638
Andhra Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,281,4,285
Andhra Pradesh,4.1 - Sexual Harassment (Section 354A IPC),2014,69,0,69
Andhra Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,18,0,18
Andhra Pradesh,4.3 - Voyeurism (Section 354C IPC),2014,6,0,6
Andhra Pradesh,4.4 - Stalking (Section 354D IPC),2014,113,4,117
Andhra Pradesh,4.5 - Others assault,2014,75,0,75
Andhra Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,127,0,127
Andhra Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,675,9,684
Andhra Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,200,5,205
Andhra Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Andhra Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,0,7
Andhra Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,210,1,211
Andhra Pradesh,6.5 - Other Kidnapping,2014,258,3,261
Andhra Pradesh,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Andhra Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),2014,4,1,5
Andhra Pradesh,9 - Exposure and Abandonment (Section 317 IPC),2014,24,0,24
Andhra Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,34,0,34
Andhra Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Andhra Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Andhra Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Andhra Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,29,5,34
Andhra Pradesh,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Andhra Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Andhra Pradesh,16.1 - Offences committed against Migrant,2014,0,0,0
Andhra Pradesh,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Andhra Pradesh,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Andhra Pradesh,16.1.3 - Offences committed against others migrants,2014,0,0,0
Andhra Pradesh,16.2 - Offences committed against Locals,2014,0,0,0
Andhra Pradesh,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Andhra Pradesh,16.2.2 - Offences committed against Local STs,2014,0,0,0
Andhra Pradesh,16.2.3 - Offences committed against others locals,2014,0,0,0
Andhra Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",2014,19,4,23
Andhra Pradesh,17.1 - Under ITP Section 5,2014,3,0,3
Andhra Pradesh,17.2 - Under ITP Section 6,2014,0,0,0
Andhra Pradesh,17.3 - Under ITP Section 7,2014,0,0,0
Andhra Pradesh,17.4 - Under ITP Section 8,2014,0,0,0
Andhra Pradesh,17.5 - Other Section of ITP Act,2014,16,4,20
Andhra Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,2,1,3
Andhra Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",2014,111,2,113
Andhra Pradesh,19.1 - Under PCSO Act Section 4,2014,28,1,29
Andhra Pradesh,19.2 - Under PCSO Act Section 6,2014,22,0,22
Andhra Pradesh,19.3 - Under PCSO Act Section 8,2014,20,1,21
Andhra Pradesh,19.4 - Under PCSO Act Section 10,2014,1,0,1
Andhra Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Andhra Pradesh,19.6 - Other Acts of PCSO,2014,40,0,40
Andhra Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2014,2,0,2
Andhra Pradesh,21 - Unnatural Offences u/s 377 IPC,2014,1,0,1
Andhra Pradesh,22 - Other crimes committed against children,2014,390,20,410
Andhra Pradesh,23 - Total crimes against Children,2014,2387,72,2459
Arunachal Pradesh,1 - Murder (Section 302 and 303 IPC),2014,3,0,3
Arunachal Pradesh,2 - Infanticide (Section 315 IPC),2014,0,0,0
Arunachal Pradesh,3 - Rape,2014,42,0,42
Arunachal Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,9,0,9
Arunachal Pradesh,4.1 - Sexual Harassment (Section 354A IPC),2014,7,0,7
Arunachal Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
